timestamp_us,event,value_us
2339984213,udp_decode_us,129
2339984215,udp_write_slice_us,0
2339984222,udp_inter_packet_us,138
2339984323,udp_decode_us,101
2339984324,udp_write_slice_us,0
2339984329,udp_inter_packet_us,107
2339984423,udp_decode_us,94
2339984424,udp_write_slice_us,1
2339984428,udp_inter_packet_us,99
2339984532,udp_decode_us,104
2339984533,udp_write_slice_us,0
2339984537,udp_inter_packet_us,109
2339984628,udp_decode_us,91
2339984629,udp_write_slice_us,0
2339984634,udp_inter_packet_us,96
2339984723,udp_decode_us,89
2339984723,udp_write_slice_us,0
2339984727,udp_inter_packet_us,94
2339984811,udp_decode_us,84
2339984811,udp_write_slice_us,0
2339984815,udp_inter_packet_us,88
2339984933,udp_decode_us,118
2339984934,udp_write_slice_us,0
2339984938,udp_inter_packet_us,123
2339985031,udp_decode_us,93
2339985032,udp_write_slice_us,0
2339985135,udp_inter_packet_us,197
2339985231,udp_decode_us,96
2339985231,udp_write_slice_us,0
2339985236,udp_inter_packet_us,101
2339985323,udp_decode_us,87
2339985324,udp_write_slice_us,0
2339985328,udp_inter_packet_us,92
2339985419,udp_decode_us,90
2339985419,udp_write_slice_us,0
2339986584,udp_inter_packet_us,1255
2339986672,udp_decode_us,89
2339986673,udp_write_slice_us,0
2339986679,udp_inter_packet_us,95
2339986766,udp_decode_us,88
2339986768,udp_write_slice_us,1
2339986772,udp_inter_packet_us,94
2339986859,udp_decode_us,87
2339986860,udp_write_slice_us,0
2339986864,udp_inter_packet_us,92
2339986951,udp_decode_us,87
2339986952,udp_write_slice_us,0
2339986962,udp_inter_packet_us,92
2339987049,udp_decode_us,92
2339987049,udp_write_slice_us,0
2339987053,udp_inter_packet_us,97
2339987144,udp_decode_us,91
2339987144,udp_write_slice_us,0
2339987149,udp_inter_packet_us,95
2339987240,udp_decode_us,92
2339987240,udp_write_slice_us,0
2339988392,udp_inter_packet_us,1244
2339988481,udp_decode_us,89
2339988482,udp_write_slice_us,0
2339988556,udp_inter_packet_us,164
2339988659,udp_decode_us,102
2339988659,udp_write_slice_us,0
2339988666,udp_inter_packet_us,110
2339988758,udp_decode_us,92
2339988759,udp_write_slice_us,0
2339988763,udp_inter_packet_us,97
2339988860,udp_decode_us,97
